AccountNumber,Name,NumberOfEmployees,NumberOfLocations__c,Phone,SLA__c,SLASerialNumber__c,Account_Number_External_ID__c,IsActive,CreatedDate,AmountPaid
1,Berni,19,50,801-507-7120,gold,242272447,7d578aec-9b1d-4cdc-9dc3-f87fd1ced883,false,4/9/2025,30.65
2,Brook,94,21,992-201-2218,gold,101106939,583dec6e-3fa6-4130-98c3-ada69a549c40,true,8/26/2024,20.18
3,Marielle,50,42,935-636-7107,bronze,101205681,cbaef138-60b5-4560-898f-04de85347cc2,false,6/4/2025,43.17
4,Merrill,68,63,867-306-2571,bronze,091905295,e8a877a7-d7de-4293-aae7-fa4c8b21bc04,false,8/20/2024,42.69
5,Joelly,53,51,812-794-3186,bronze,072400353,76d2d5d8-ee0c-493f-bdc2-9520717f9b9d,true,11/10/2024,80.13
6,Liliane,6,54,363-326-1715,platinum,062203816,12741aae-c2d6-4801-84bd-9f9735a69011,true,4/7/2025,16.42
7,Marji,88,76,152-282-9470,gold,063113015,b3e073a6-346e-477e-9cf3-e54a1deb8e2f,true,2/26/2025,49.3
8,Teodor,14,34,975-834-5202,bronze,021206676,c89145ff-b980-4d55-bff8-379f4d996046,true,4/2/2025,33.59
9,Anderson,74,89,734-609-3243,platinum,071924898,d76f2550-fb20-496f-84e5-3b1de5bdedba,false,6/10/2025,72.99
10,Donielle,15,14,780-241-8607,bronze,121141864,08b78d96-4f6a-4ea6-9ddb-430e20a9fe31,true,11/6/2024,14.94
11,Holli,49,88,269-847-3845,bronze,267089712,43c1b773-9e51-48b8-afb7-a89366e6182a,true,6/28/2025,11.19
12,Freda,77,29,380-391-9863,bronze,061211647,f39f1b79-a129-41a7-ba34-d7d7d5a4f846,true,5/30/2025,40.58
13,Yolande,37,28,425-998-1584,silver,081302633,ae9b11f6-f147-433c-a3b7-f81883beb8d7,true,7/27/2025,82.29
14,Sara-ann,27,75,446-389-8054,bronze,122101706,0a19174b-59b8-475d-a18c-432399f2e803,false,2/24/2025,12.7
15,Yvette,80,27,222-893-0940,bronze,111000012,199aa303-f7ed-475f-afae-00d18c15c9be,true,12/20/2024,43.43
16,Izaak,42,14,409-394-1658,platinum,083907722,cf1ef787-bb1a-4da6-9a80-01c4f465008d,true,1/18/2025,63.61
17,Jehu,18,58,356-625-3199,platinum,031302777,9312c86b-4754-4d41-af42-aecfcb7312ca,true,12/23/2024,11.75
18,Huey,18,89,283-940-6406,platinum,307070267,3a318983-b39a-484d-b6c9-ba70bcf2f5a4,false,4/8/2025,19.07
19,Orelee,19,30,935-484-7422,platinum,111309234,e52043ac-c952-4875-ba03-8fbe496208ed,false,4/28/2025,59.87
20,Jerry,9,98,308-146-3574,gold,113105452,03837f9a-30e2-4038-a6cd-da33a11b142e,true,7/5/2025,28.18
21,Shanda,64,53,261-778-5657,bronze,103104489,56de874f-c0a8-46cc-b4a9-a6efee9b8453,true,2/12/2025,72.48
22,Abagael,100,51,253-524-3180,platinum,314973593,365c4d14-de31-49f5-85c5-bd85a9cfe900,true,6/6/2025,5.95
